Sample_ID,BRAF
TCGA-AA-3976,0
TCGA-AA-3977,0
TCGA-AA-3979,0
TCGA-AA-3980,0
TCGA-AA-3982,0
TCGA-AA-3984,0
TCGA-AA-3986,0
TCGA-AA-3989,0
TCGA-AA-3994,0
TCGA-AF-2689,0
TCGA-AF-2691,0
TCGA-AF-2692,0
TCGA-AF-3400,0
TCGA-AF-3913,0
TCGA-AG-A00C,0
TCGA-AG-A00H,0
TCGA-AG-A00Y,0
TCGA-AG-A01L,0
TCGA-AG-A01W,0
TCGA-AG-A01Y,0
TCGA-AG-A02G,0
TCGA-AG-A02N,0
TCGA-AG-A02X,0
TCGA-AG-A008,0
TCGA-AG-A011,0
TCGA-AG-A014,0
TCGA-AG-A015,0
TCGA-AG-A016,0
TCGA-AG-A020,0
TCGA-AG-A025,0
TCGA-AG-A026,0
TCGA-AG-A032,0
TCGA-AG-A036,0
TCGA-AG-3574,0
TCGA-AG-3575,0
TCGA-AG-3580,0
TCGA-AG-3581,0
TCGA-AG-3582,0
TCGA-AG-3583,0
TCGA-AG-3584,0
TCGA-AG-3586,0
TCGA-AG-3587,0
TCGA-AG-3593,0
TCGA-AG-3594,0
TCGA-AG-3598,0
TCGA-AG-3599,0
TCGA-AG-3600,0
TCGA-AG-3601,0
TCGA-AG-3602,0
TCGA-AG-3605,0
TCGA-AG-3608,0
TCGA-AG-3609,0
TCGA-AG-3611,0
TCGA-AG-3612,0
TCGA-AG-3726,0
TCGA-AG-3727,0
TCGA-AG-3878,0
TCGA-AG-3881,0
TCGA-AG-3882,0
TCGA-AG-3883,0
TCGA-AG-3887,0
TCGA-AG-3890,0
TCGA-AG-3892,0
TCGA-AG-3893,0
TCGA-AG-3894,0
TCGA-AG-3896,0
TCGA-AG-3898,0
TCGA-AG-3901,0
TCGA-AG-3902,0
TCGA-AG-3909,0
TCGA-AG-3999,0
TCGA-AG-4001,0
TCGA-AG-4005,0
TCGA-AG-4007,0
TCGA-AG-4008,0
TCGA-AG-4015,0
TCGA-AY-4070,0
TCGA-AY-4071,0
